paper,route,app_question_id,official_question_number,field,official_answer,removed_fragments,replacement_fragments,result
115-1-L22,pdf,PAST-115-1-L22-16,16,question,A,"[""】  第 二 科 : 大數據處理分析與應用  考試日期: 11 5 年 0 5 月 23 日  第 5 頁,共 17 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L22,pdf,PAST-115-1-L22-19,19,question,D,"[""】  第 二 科 : 大數據處理分析與應用  考試日期: 11 5 年 0 5 月 23 日  第 6 頁,共 17 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L22,pdf,PAST-115-1-L22-21,21,D,D,"["" 】 第 二 科 : 大數據處理分析與應用 考試日期: 11 5 年 0 5 月 23 日 第 7 頁,共 17 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L22,pdf,PAST-115-1-L22-24,24,A,C,"[""】 第 二 科 : 大數據處理分析與應用 考試日期: 11 5 年 0 5 月 23 日 第 8 頁,共 17 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-1-L22,pdf,PAST-115-1-L22-28,28,question,C,"[""  】  第 二 科 : 大數據處理分析與應用  考試日期: 11 5 年 0 5 月 23 日  第 9 頁,共 17 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L22,pdf,PAST-115-1-L22-32,32,A,B,"[""】 第 二 科 : 大數據處理分析與應用 考試日期: 11 5 年 0 5 月 23 日 第 10 頁,共 17 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-1-L22,pdf,PAST-115-1-L22-36,36,question,D,"[""  】  第 二 科 : 大數據處理分析與應用  考試日期: 11 5 年 0 5 月 23 日  第 11 頁,共 17 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L22,pdf,PAST-115-1-L22-38,38,D,B,"["" 】 第 二 科 : 大數據處理分析與應用 考試日期: 11 5 年 0 5 月 23 日 第 12 頁,共 17 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-5,5,question,C,"[""】  第 三 科 : 機器學習技術與應用  考試日期: 11 5 年 0 5 月 23 日  第 2 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-9,9,question,A,"[""  】  第 三 科 : 機器學習技術與應用  考試日期: 11 5 年 0 5 月 23 日  第 3 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-13,13,question,C,"[""】  第 三 科 : 機器學習技術與應用  考試日期: 11 5 年 0 5 月 23 日  第 4 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-16,16,C,A,"["" 】 第 三 科 : 機器學習技術與應用 考試日期: 11 5 年 0 5 月 23 日 第 5 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-20,20,A,C,"["" 】 第 三 科 : 機器學習技術與應用 考試日期: 11 5 年 0 5 月 23 日 第 6 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-24,24,D,D,"["" 】 第 三 科 : 機器學習技術與應用 考試日期: 11 5 年 0 5 月 23 日 第 7 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-29,29,question,B,"[""】  第 三 科 : 機器學習技術與應用  考試日期: 11 5 年 0 5 月 23 日  第 8 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-33,33,A,B,"[""】 第 三 科 : 機器學習技術與應用 考試日期: 11 5 年 0 5 月 23 日 第 9 頁,共 18 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-37,37,C,A,"[""】 第 三 科 : 機器學習技術與應用 考試日期: 11 5 年 0 5 月 23 日 第 10 頁,共 18 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-39,39,D,A,"[""】 第 三 科 : 機器學習技術與應用 考試日期: 11 5 年 0 5 月 23 日 第 11 頁,共 18 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-41,41,question,B,"[""】  第 三 科 : 機器學習技術與應用  考試日期: 11 5 年 0 5 月 23 日  第 12 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-43,43,D,D,"["" 】 第 三 科 : 機器學習技術與應用 考試日期: 11 5 年 0 5 月 23 日 第 13 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-44,44,question,B,"[""】  第 三 科 : 機器學習技術與應用  考試日期: 11 5 年 0 5 月 23 日  第 14 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-45,45,D,A,"["" 】 第 三 科 : 機器學習技術與應用 考試日期: 11 5 年 0 5 月 23 日 第 15 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-46,46,question,B,"[""】  第 三 科 : 機器學習技術與應用  考試日期: 11 5 年 0 5 月 23 日  第 16 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-48,48,question,D,"[""】  第 三 科 : 機器學習技術與應用  考試日期: 11 5 年 0 5 月 23 日  第 17 頁,共 18 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L23,pdf,PAST-115-1-L23-49,49,A,C,"[""】 第 三 科 : 機器學習技術與應用 考試日期: 11 5 年 0 5 月 23 日 第 18 頁,共 18 頁 ""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-4,4,D,C,"[""114 年第二次 第一 科 : 人工智慧技術應用與規劃 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 2 頁,共 14 頁 ""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-8,8,C,C,"[""114 年第二次 第一 科 : 人工智慧技術應用與規劃 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 3 頁,共 14 頁 ""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-12,12,B,B,"["" 114 年第二次 第一 科 : 人工智慧技術應用與規劃 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 4 頁,共 14 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-17,17,A,D,"["" 114 年第二次 第一 科 : 人工智慧技術應用與規劃 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 5 頁,共 14 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-21,21,question,B,"["" 114 年第二次   第一 科 : 人工智慧技術應用與規劃  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 6 頁,共 14 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-25,25,question,B,"["" 114 年第二次   第一 科 : 人工智慧技術應用與規劃  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 7 頁,共 14 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-28,28,D,C,"["" 114 年第二次 第一 科 : 人工智慧技術應用與規劃 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 8 頁,共 14 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-32,32,C,D,"["" 114 年第二次 第一 科 : 人工智慧技術應用與規劃 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 9 頁,共 14 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-36,36,question,B,"[""114"", ""年第二次   第一 科 : 人工智慧技術應用與規劃  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 10 頁,共 14 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-39,39,A,C,"["" 114 年第二次 第一 科 : 人工智慧技術應用與規劃 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 11 頁,共 14 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-42,42,question,D,"["" 114 年第二次   第一 科 : 人工智慧技術應用與規劃  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 12 頁,共 14 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-45,45,question,D,"["" 114 年第二次   第一 科 : 人工智慧技術應用與規劃  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 13 頁,共 14 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L21,pdf,PAST-114-2-L21-48,48,A,B,"["" 114 年第二次 第一 科 : 人工智慧技術應用與規劃 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 14 頁,共 14 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-4,4,B,B,"["" 114 年第二次 第二 科 : 大數據處理分析與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 2 頁,共 17 頁 答 案 題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-8,8,B,B,"["" 114 年第二次 第二 科 : 大數據處理分析與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 3 頁,共 17 頁 答 案 題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-13,13,D,D,"["" 114 年第二次 第二 科 : 大數據處理分析與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 4 頁,共 17 頁 答 案 題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-17,17,C,B,"[""114 年第二次 第二 科 : 大數據處理分析與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 5 頁,共 17 頁 答 案 題目 ""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-20,20,A,D,"["" 114 年第二次 第二 科 : 大數據處理分析與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 6 頁,共 17 頁 答 案 題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-24,24,question,A,"[""114 年第二次"", ""第二 科 : 大數據處理分析與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 7 頁,共 17 頁  答  案  題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-27,27,question,D,"["" 114 年第二次   第二 科 : 大數據處理分析與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 8 頁,共 17 頁  答  案  題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-31,31,question,B,"[""114 年第二次"", ""第二 科 : 大數據處理分析與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 9 頁,共 17 頁  答  案  題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-34,34,question,B,"[""114 年第二次"", ""第二 科 : 大數據處理分析與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 10 頁,共 17 頁  答  案  題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-38,38,question,B,"[""114 年第二次"", ""第二 科 : 大數據處理分析與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 11 頁,共 17 頁  答  案  題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-40,40,A,B,"["" 114 年第二次 第二 科 : 大數據處理分析與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 12 頁,共 17 頁 答 案 題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-42,42,question,C,"["" 114 年第二次   第二 科 : 大數據處理分析與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 13 頁,共 17 頁  答  案  題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-42,42,D,C,"["" 114 年第二次 第二 科 : 大數據處理分析與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 14 頁,共 17 頁 答 案 題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-45,45,B,A,"["" 114 年第二次 第二 科 : 大數據處理分析與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 15 頁,共 17 頁 答 案 題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-47,47,D,B,"["" 114 年第二次 第二 科 : 大數據處理分析與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 16 頁,共 17 頁 答 案 題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,pdf,PAST-114-2-L22-49,49,C,C,"["" 114 年第二次 第二 科 : 大數據處理分析與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 17 頁,共 17 頁 答 案 題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,mirror,PAST-114-2-L22-4,4,B,B,"[""答題目案""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,mirror,PAST-114-2-L22-8,8,B,B,"[""答題目案""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,mirror,PAST-114-2-L22-13,13,D,D,"[""答題目案""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,mirror,PAST-114-2-L22-17,17,C,B,"[""答題目案""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,mirror,PAST-114-2-L22-20,20,A,D,"[""答題目案""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,mirror,PAST-114-2-L22-24,24,question,A,"[""答題目案""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,mirror,PAST-114-2-L22-27,27,question,D,"[""答題目案""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,mirror,PAST-114-2-L22-31,31,question,B,"[""答題目案""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,mirror,PAST-114-2-L22-34,34,question,B,"[""答題目案""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,mirror,PAST-114-2-L22-38,38,question,B,"[""答題目案""]",[],layout text removed; answer unchanged and matches PDF
114-2-L22,mirror,PAST-114-2-L22-39,39,D,D,"[""答題目案"", ""答題目案"", ""答題目案"", ""答題目案"", ""答題目案"", ""答題目案""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-5,5,question,A,"[""114"", ""年第二次   第三 科 : 機器學習技術與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 2 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-9,9,C,A,"["" 114 年第二次 第三 科 : 機器學習技術與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 3 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-14,14,B,C,"[""114 年第二次 第三 科 : 機器學習技術與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 4 頁,共 19 頁 ""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-19,19,C,C,"["" 114 年第二次 第三 科 : 機器學習技術與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 5 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-23,23,A,A,"["" 114 年第二次 第三 科 : 機器學習技術與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 6 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-27,27,C,D,"["" 114 年第二次 第三 科 : 機器學習技術與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 7 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-31,31,question,B,"[""114"", ""年第二次   第三 科 : 機器學習技術與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 8 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-37,37,B,B,"[""114 年第二次 第三 科 : 機器學習技術與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 10 頁,共 19 頁 ""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-41,41,question,D,"[""114"", ""年第二次   第三 科 : 機器學習技術與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 11 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-41,41,D,D,"["" 114 年第二次 第三 科 : 機器學習技術與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 12 頁,共 19 頁"", ""114 年第二次 第三 科 : 機器學習技術與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 13 頁,共 19 頁 ""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-45,45,question,B,"[""114"", ""年第二次   第三 科 : 機器學習技術與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 14 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-45,45,D,B,"[""114 年第二次 第三 科 : 機器學習技術與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 15 頁,共 19 頁 ""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-47,47,question,B,"[""114"", ""年第二次   第三 科 : 機器學習技術與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 16 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-47,47,D,B,"["" 114 年第二次 第三 科 : 機器學習技術與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 17 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-48,48,A,C,"["" 114 年第二次 第三 科 : 機器學習技術與應用 考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日 第 18 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,pdf,PAST-114-2-L23-50,50,question,C,"[""114"", ""年第二次   第三 科 : 機器學習技術與應用  考試日期: 114 年 1 1 月 0 8 日 試題公告日期: 114 年 1 1 月 2 0 日  第 19 頁,共 19 頁""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-5,5,question,A,"[""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-9,9,C,A,"[""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-14,14,B,C,"[""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-19,19,C,C,"[""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-23,23,A,A,"[""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-27,27,C,D,"[""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-31,31,question,B,"[""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-34,34,question,D,"[""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-37,37,B,B,"[""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-40,41,question,D,"[""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-40,41,D,D,"[""答案題目"", ""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-45,47,question,B,"[""答案題目""]",[],layout text removed; answer unchanged and matches PDF
114-2-L23,mirror,PAST-114-2-L23-45,47,D,B,"[""答案題目"", ""答案題目"", ""答案題目""]",[],layout text removed; answer unchanged and matches PDF
